,总量,,,中餐厅,,,外国餐厅,,,快餐厅,,城市,甜品饮品店
重庆市,111439,,重庆市,78559,,上海市,5491,,深圳市,26882,,成都市,21306
成都市,110650,,成都市,70727,,北京市,3914,,广州市,23651,,重庆市,14461
广州市,105530,,广州市,65724,,广州市,3611,,上海市,21455,,上海市,12632
深圳市,98802,,东莞市,61820,,深圳市,2642,,北京市,18079,,广州市,12544
上海市,94141,,深圳市,59912,,成都市,2131,,东莞市,17456,,深圳市,9366
东莞市,85699,,上海市,54563,,沈阳市,1981,,重庆市,16834,,北京市,8747
北京市,77657,,北京市,46917,,杭州市,1899,,成都市,16486,,杭州市,6970
西安市,63731,,西安市,45250,,天津市,1819,,苏州市,13359,,苏州市,6216
苏州市,62619,,苏州市,41267,,苏州市,1777,,西安市,12368,,佛山市,6027
郑州市,56939,,郑州市,38910,,青岛市,1625,,郑州市,11938,,武汉市,5572
武汉市,56024,,武汉市,37058,,东莞市,1611,,武汉市,11906,,长沙市,5433
杭州市,55890,,杭州市,36366,,重庆市,1585,,沈阳市,11877,,郑州市,4932
天津市,50094,,天津市,32389,,大连市,1532,,天津市,11350,,西安市,4928
佛山市,48410,,佛山市,30423,,武汉市,1488,,佛山市,10834,,东莞市,4812
长沙市,46519,,长沙市,30201,,哈尔滨市,1474,,青岛市,10756,,青岛市,4632
青岛市,45421,,昆明市,28474,,南京市,1395,,杭州市,10655,,天津市,4536
沈阳市,44582,,青岛市,28408,,西安市,1185,,南京市,9974,,南宁市,4536
昆明市,41912,,哈尔滨市,27459,,郑州市,1159,,长沙市,9832,,昆明市,4365
哈尔滨市,40668,,沈阳市,27384,,宁波市,1130,,济南市,9784,,南京市,4185
宁波市,40665,,宁波市,27232,,佛山市,1126,,合肥市,9160,,宁波市,4117
南京市,40642,,泉州市,26270,,厦门市,1105,,哈尔滨市,9019,,泉州市,4076
泉州市,39172,,温州市,25431,,福州市,1070,,徐州市,8460,,厦门市,4060
合肥市,38925,,南京市,25088,,长沙市,1053,,昆明市,8361,,合肥市,3979
温州市,38405,,合肥市,25032,,长春市,1025,,石家庄市,8258,,福州市,3944
济南市,36242,,长春市,24338,,温州市,1000,,宁波市,8186,,温州市,3807
石家庄市,36131,,石家庄市,24306,,无锡市,962,,温州市,8167,,无锡市,3805
长春市,34988,,惠州市,23260,,济南市,935,,泉州市,8010,,中山市,3446
无锡市,34984,,无锡市,23079,,泉州市,816,,大连市,7912,,海口市,3353
厦门市,34100,,济南市,22720,,合肥市,754,,中山市,7640,,沈阳市,3340
惠州市,33957,,保定市,21912,,南宁市,746,,南宁市,7478,,绵阳市,3217
福州市,32616,,厦门市,21542,,烟台市,744,,长春市,7422,,惠州市,3176
南宁市,32077,,金华市,21422,,金华市,739,,厦门市,7393,,大连市,3079
金华市,31939,,福州市,20534,,昆明市,712,,无锡市,7138,,石家庄市,2927
中山市,31785,,潍坊市,20404,,中山市,684,,潍坊市,7118,,汕头市,2886
保定市,31457,,嘉兴市,20048,,常州市,664,,福州市,7068,,金华市,2820
大连市,31115,,中山市,20015,,石家庄市,640,,临沂市,7001,,德阳市,2813
潍坊市,30538,,贵阳市,19805,,惠州市,636,,金华市,6958,,济南市,2803
徐州市,29779,,南宁市,19317,,徐州市,578,,惠州市,6885,,哈尔滨市,2716
嘉兴市,29028,,临沂市,18972,,嘉兴市,535,,洛阳市,6735,,嘉兴市,2712
临沂市,28607,,徐州市,18685,,延边朝鲜族自治州,520,,保定市,6596,,江门市,2711
贵阳市,28521,,大连市,18592,,潍坊市,517,,周口市,6269,,湛江市,2655
洛阳市,26891,,洛阳市,18163,,南通市,510,,烟台市,6149,,保定市,2536
烟台市,25292,,南阳市,16740,,南昌市,496,,贵阳市,6109,,常州市,2535
常州市,24986,,常州市,16690,,珠海市,495,,商丘市,5897,,潍坊市,2499
南阳市,24972,,邯郸市,16689,,台州市,475,,南阳市,5841,,南充市,2370
邯郸市,24030,,济宁市,16531,,威海市,472,,嘉兴市,5733,,烟台市,2362
济宁市,23856,,烟台市,16037,,太原市,464,,台州市,5487,,临沂市,2250
台州市,23532,,赣州市,15512,,江门市,455,,南昌市,5484,,长春市,2203
南昌市,22008,,台州市,15428,,贵阳市,446,,邯郸市,5450,,南阳市,2173
周口市,21852,,太原市,14419,,绍兴市,442,,太原市,5326,,南通市,2167
太原市,21710,,遵义市,14046,,吉林市,440,,南通市,5263,,贵阳市,2161
赣州市,21183,,唐山市,13971,,盐城市,431,,济宁市,5212,,台州市,2142
南通市,20862,,南昌市,13913,,汕头市,415,,常州市,5097,,南昌市,2115
汕头市,20859,,周口市,13888,,保定市,413,,唐山市,4718,,茂名市,2069
商丘市,20817,,沧州市,13877,,唐山市,386,,菏泽市,4361,,徐州市,2056
唐山市,20710,,汕头市,13374,,临沂市,384,,盐城市,4330,,漳州市,2024
盐城市,19796,,廊坊市,13312,,济宁市,361,,汕头市,4184,,绍兴市,1998
绍兴市,19563,,商丘市,13304,,海口市,361,,廊坊市,4129,,揭阳市,1947
沧州市,19289,,盐城市,13200,,廊坊市,348,,绍兴市,4104,,眉山市,1937
遵义市,19285,,绍兴市,13019,,扬州市,347,,乌鲁木齐市,4048,,乐山市,1905
廊坊市,19120,,南通市,12922,,漳州市,340,,邢台市,4029,,肇庆市,1877
邢台市,17899,,阜阳市,12775,,商丘市,332,,沧州市,3919,,盐城市,1835
江门市,17875,,邢台市,12479,,呼和浩特市,329,,新乡市,3873,,扬州市,1831
淄博市,17436,,新乡市,11955,,洛阳市,317,,淄博市,3845,,珠海市,1786
阜阳市,17430,,淮安市,11878,,湛江市,309,,珠海市,3702,,赣州市,1771
新乡市,17402,,淄博市,11862,,桂林市,292,,淮安市,3701,,桂林市,1758
菏泽市,17382,,聊城市,11575,,淄博市,288,,驻马店市,3669,,济宁市,1752
淮安市,17148,,菏泽市,11548,,镇江市,283,,遵义市,3658,,清远市,1702
扬州市,16514,,兰州市,11449,,沧州市,280,,赣州市,3627,,湖州市,1696
兰州市,16477,,江门市,11214,,鞍山市,279,,安阳市,3544,,洛阳市,1676
漳州市,16447,,扬州市,10982,,淮安市,278,,德州市,3538,,玉林市,1661
聊城市,16249,,漳州市,10940,,赣州市,273,,江门市,3495,,邯郸市,1642
海口市,16246,,呼和浩特市,10600,,乌鲁木齐市,270,,泰安市,3492,,唐山市,1635
绵阳市,16010,,德州市,10450,,周口市,267,,泰州市,3472,,遂宁市,1634
珠海市,15486,,湖州市,10368,,丹东市,266,,宿迁市,3430,,宜宾市,1634
呼和浩特市,15392,,咸阳市,10306,,湖州市,265,,聊城市,3403,,柳州市,1538
德州市,15201,,驻马店市,10144,,牡丹江市,260,,兰州市,3403,,泸州市,1502
湖州市,15052,,镇江市,10086,,泰州市,253,,开封市,3385,,太原市,1501
驻马店市,15045,,安阳市,9960,,邯郸市,249,,扬州市,3354,,淄博市,1441
乌鲁木齐市,14913,,宿迁市,9942,,抚顺市,249,,海口市,3353,,自贡市,1437
镇江市,14859,,信阳市,9922,,宿迁市,245,,呼和浩特市,3318,,周口市,1428
安阳市,14801,,绵阳市,9922,,秦皇岛市,243,,镇江市,3295,,遵义市,1426
南充市,14708,,桂林市,9678,,连云港市,241,,吉林市,3262,,衡阳市,1405
宿迁市,14683,,曲靖市,9658,,泰安市,241,,漳州市,3143,,常德市,1405
桂林市,14421,,南充市,9641,,莆田市,236,,焦作市,3117,,内江市,1399
开封市,14124,,襄阳市,9636,,德州市,232,,阜阳市,3067,,兰州市,1398
泰州市,14111,,乌鲁木齐市,9581,,揭阳市,231,,许昌市,3053,,阜阳市,1387
泰安市,14093,,运城市,9567,,柳州市,227,,平顶山市,3022,,新乡市,1359
信阳市,14029,,珠海市,9503,,兰州市,227,,连云港市,3008,,廊坊市,1331
揭阳市,13720,,开封市,9486,,绵阳市,224,,滨州市,2959,,淮安市,1291
湛江市,13663,,渭南市,9322,,丽水市,223,,运城市,2941,,商丘市,1284
清远市,13620,,泰安市,9304,,肇庆市,223,,芜湖市,2813,,拉萨市,1269
运城市,13578,,清远市,9210,,大庆市,222,,信阳市,2789,,贵港市,1267
肇庆市,13411,,海口市,9179,,芜湖市,220,,柳州市,2772,,连云港市,1266
咸阳市,13251,,泰州市,9166,,南阳市,218,,枣庄市,2752,,菏泽市,1262
连云港市,13195,,揭阳市,9095,,新乡市,215,,湖州市,2723,,达州市,1256
吉林市,12999,,肇庆市,8771,,齐齐哈尔市,213,,桂林市,2693,,上饶市,1253
襄阳市,12841,,临汾市,8744,,呼伦贝尔市,212,,绵阳市,2647,,株洲市,1242
渭南市,12668,,上饶市,8689,,菏泽市,211,,齐齐哈尔市,2614,,九江市,1221
枣庄市,12571,,连云港市,8680,,邢台市,205,,银川市,2576,,岳阳市,1221
曲靖市,12515,,枣庄市,8676,,清远市,205,,渭南市,2554,,泰州市,1220
银川市,12461,,银川市,8642,,阜阳市,201,,肇庆市,2540,,沧州市,1213
乐山市,12348,,九江市,8597,,包头市,200,,南充市,2535,,镇江市,1195
平顶山市,12322,,吉林市,8560,,银川市,200,,鞍山市,2528,,红河哈尼族彝族自治州,1195
九江市,12264,,梅州市,8389,,营口市,198,,清远市,2503,,邢台市,1186
许昌市,12253,,张家口市,8383,,聊城市,198,,榆林市,2470,,襄阳市,1156
滨州市,12210,,湛江市,8292,,宁德市,196,,威海市,2464,,曲靖市,1153
焦作市,12104,,毕节市,8257,,安阳市,193,,揭阳市,2447,,呼和浩特市,1145
临汾市,12078,,平顶山市,8238,,三亚市,193,,临汾市,2446,,益阳市,1140
